Exo_type_id,Exo_type,Exo_objective,Exo_focus,Exo_id,Source_format,Target_format,Source_sentence_id,Source_word_id,Source_lang,Target_lang,Full_sentence,Instruction,Sentence_w_blank,Right_answer,Dist_1,Dist_2,Dist_3,Explanation,Difficulty,Remediation
10,Flashcards,Learning vocabulary,,87,text,text,,87.0,French,English,Unefficient,,,Inefficace,,,,,C1,
10,Flashcards,Learning vocabulary,,88,text,text,,88.0,French,English,Gifted,,,Doué,,,,,C1,
10,Flashcards,Learning vocabulary,,89,text,text,,89.0,French,English,Exceptionnal,,,Exceptionnel,,,,,C1,
10,Flashcards,Learning vocabulary,,90,text,text,,90.0,French,English,Awful,,,Horrible,,,,,B2,
10,Flashcards,Learning vocabulary,,91,text,text,,91.0,French,English,Impressive,,,Impressionant,,,,,C1,
10,Flashcards,Learning vocabulary,,92,text,text,,92.0,French,English,Unbearable ,,,Insupportable,,,,,C1,
10,Flashcards,Learning vocabulary,,93,text,text,,93.0,French,English,Vulgar,,,Vulgaire,,,,,C1,
10,Flashcards,Learning vocabulary,,94,text,text,,94.0,French,English,Clean,,,Propre,,,,,B1,
10,Flashcards,Learning vocabulary,,95,text,text,,95.0,French,English,Own,,,Propre,,,,,A1,
10,Flashcards,Learning vocabulary,,96,text,text,,96.0,French,English,Dirty,,,Sale,,,,,B2,
10,Flashcards,Learning vocabulary,,97,text,text,,97.0,French,English,Famous,,,Fameux,,,,,B2,
10,Flashcards,Learning vocabulary,,98,text,text,,98.0,French,English,Short,,,Bref,,,,,B1,
10,Flashcards,Learning vocabulary,,99,text,text,,99.0,French,English,Absurd,,,Absurde,,,,,C1,
10,Flashcards,Learning vocabulary,,100,text,text,,100.0,French,English,Different,,,Différent,,,,,B2,
10,Flashcards,Learning vocabulary,,101,text,text,,101.0,French,English,Outrageous,,,Délirant,,,,,C1,
10,Flashcards,Learning vocabulary,,102,text,text,,102.0,French,English,Burnt,,,Brûlé,,,,,B2,
10,Flashcards,Learning vocabulary,,103,text,text,,103.0,French,English,Piping hot,,,Brûlant,,,,,B2,
10,Flashcards,Learning vocabulary,,104,text,text,,104.0,French,English,Raw,,,Cru,,,,,A2,
10,Flashcards,Learning vocabulary,,105,text,text,,105.0,French,English,Cooked,,,Cuit,,,,,C1,
10,Flashcards,Learning vocabulary,,106,text,text,,106.0,French,English,Fertile,,,Fertile,,,,,C1,
10,Flashcards,Learning vocabulary,,107,text,text,,107.0,French,English,Sterile,,,Stérile,,,,,C1,
10,Flashcards,Learning vocabulary,,108,text,text,,108.0,French,English,Heavy,,,Lourd,,,,,B1,
10,Flashcards,Learning vocabulary,,109,text,text,,109.0,French,English,Light,,,Léger,,,,,B1,
10,Flashcards,Learning vocabulary,,110,text,text,,110.0,French,English,Frequent,,,Fréquent,,,,,C1,
10,Flashcards,Learning vocabulary,,111,text,text,,111.0,French,English,Rare,,,Rare,,,,,B1,
10,Flashcards,Learning vocabulary,,112,text,text,,112.0,French,English,Ridiculous,,,Ridicule,,,,,C1,
10,Flashcards,Learning vocabulary,,113,text,text,,113.0,French,English,Next,,,Prochain,,,,,A1,
10,Flashcards,Learning vocabulary,,114,text,text,,114.0,French,English,Last,,,Dernier,,,,,A1,
10,Flashcards,Learning vocabulary,,115,text,text,,115.0,French,English,Powerful,,,Puissant,,,,,C1,
10,Flashcards,Learning vocabulary,,116,text,text,,116.0,French,English,Powerless,,,Impuissant,,,,,C1,
10,Flashcards,Learning vocabulary,,117,text,text,,117.0,French,English,Possible,,,Possible,,,,,B2,
10,Flashcards,Learning vocabulary,,118,text,text,,118.0,French,English,Likely,,,Probable,,,,,B2,
10,Flashcards,Learning vocabulary,,119,text,text,,119.0,French,English,Periodic,,,Périodique,,,,,C1,
10,Flashcards,Learning vocabulary,,120,text,text,,120.0,French,English,Precious,,,Précieux,,,,,C1,
10,Flashcards,Learning vocabulary,,121,text,text,,121.0,French,English,Private,,,Privé,,,,,B2,
10,Flashcards,Learning vocabulary,,122,text,text,,122.0,French,English,Public,,,Public,,,,,B1,
10,Flashcards,Learning vocabulary,,123,text,text,,123.0,French,English,Sure,,,Sûr,,,,,A1,
10,Flashcards,Learning vocabulary,,124,text,text,,124.0,French,English,Regular,,,Régulier,,,,,B2,
10,Flashcards,Learning vocabulary,,125,text,text,,125.0,French,English,Rustic,,,Rustique,,,,,C1,
10,Flashcards,Learning vocabulary,,126,text,text,,126.0,French,English,Flat,,,Plat,,,,,B1,
10,Flashcards,Learning vocabulary,,127,text,text,,127.0,French,English,Snobbish,,,Snob,,,,,C1,
10,Flashcards,Learning vocabulary,,128,text,text,,128.0,French,English,Thin,,,Mince,,,,,B1,
10,Flashcards,Learning vocabulary,,129,text,text,,129.0,French,English,Agile,,,Agile,,,,,C1,
10,Flashcards,Learning vocabulary,,130,text,text,,130.0,French,English,Exhausting,,,Fatigant,,,,,C1,
10,Flashcards,Learning vocabulary,,131,text,text,,131.0,French,English,Unique,,,Unique,,,,,B2,
10,Flashcards,Learning vocabulary,,132,text,text,,132.0,French,English,Feminine,,,Féminin,,,,,C1,
10,Flashcards,Learning vocabulary,,133,text,text,,133.0,French,English,Masculine,,,Masculin,,,,,C1,
10,Flashcards,Learning vocabulary,,134,text,text,,134.0,French,English,Instinctive,,,Instinctif,,,,,C1,
10,Flashcards,Learning vocabulary,,135,text,text,,135.0,French,English,Absolute,,,Absolu,,,,,C1,
10,Flashcards,Learning vocabulary,,136,text,text,,136.0,French,English,Virgin,,,Vierge,,,,,B2,
10,Flashcards,Learning vocabulary,,137,text,text,,137.0,French,English,Ordinary,,,Ordinaire,,,,,C1,
10,Flashcards,Learning vocabulary,,138,text,text,,138.0,French,English,Extraordinary,,,Extraordinaire,,,,,C1,
10,Flashcards,Learning vocabulary,,139,text,text,,139.0,French,English,Quickly,,,Rapidement,,,,,B2,
10,Flashcards,Learning vocabulary,,140,text,text,,140.0,French,English,Slowly,,,Lentement,,,,,B2,
10,Flashcards,Learning vocabulary,,141,text,text,,141.0,French,English,Suddenly,,,Tout à coup,,,,,C1,
10,Flashcards,Learning vocabulary,,142,text,text,,142.0,French,English,Mainly,,,Surtout,,,,,B2,
10,Flashcards,Learning vocabulary,,143,text,text,,143.0,French,English,Most of the time,,,La plupart du temps,,,,,A1,
10,Flashcards,Learning vocabulary,,144,text,text,,144.0,French,English,Enough,,,Assez,,,,,B1,
10,Flashcards,Learning vocabulary,,145,text,text,,145.0,French,English,Rather,,,Assez,,,,,B2,
10,Flashcards,Learning vocabulary,,146,text,text,,146.0,French,English,Quite,,,Plutôt,,,,,B1,
10,Flashcards,Learning vocabulary,,147,text,text,,147.0,French,English,Seldom,,,Rarement,,,,,C1,
10,Flashcards,Learning vocabulary,,148,text,text,,148.0,French,English,Often,,,Souvent,,,,,B1,
10,Flashcards,Learning vocabulary,,149,text,text,,149.0,French,English,Always,,,Toujours,,,,,B1,
10,Flashcards,Learning vocabulary,,150,text,text,,150.0,French,English,Never,,,Jamais,,,,,A2,
10,Flashcards,Learning vocabulary,,151,text,text,,151.0,French,English,From times to times,,,De temps en temps,,,,,A1,
10,Flashcards,Learning vocabulary,,152,text,text,,152.0,French,English,A lot,,,Beaucoup,,,,,A1,
10,Flashcards,Learning vocabulary,,153,text,text,,153.0,French,English,Little,,,Peu,,,,,B1,
10,Flashcards,Learning vocabulary,,154,text,text,,154.0,French,English,Generally,,,Généralement,,,,,C1,
10,Flashcards,Learning vocabulary,,155,text,text,,155.0,French,English,Now,,,Maintenant,,,,,A1,
10,Flashcards,Learning vocabulary,,156,text,text,,156.0,French,English,Yesterday,,,Hier,,,,,C1,
10,Flashcards,Learning vocabulary,,157,text,text,,157.0,French,English,Today,,,Aujourd'hui,,,,,B1,
10,Flashcards,Learning vocabulary,,158,text,text,,158.0,French,English,Tomorrow,,,Demain,,,,,C1,
10,Flashcards,Learning vocabulary,,159,text,text,,159.0,French,English,Later,,,Plus tard,,,,,B1,
10,Flashcards,Learning vocabulary,,160,text,text,,160.0,French,English,Finally,,,Finalement,,,,,B2,
10,Flashcards,Learning vocabulary,,161,text,text,,161.0,French,English,Constantly,,,Constamment ,,,,,C1,
10,Flashcards,Learning vocabulary,,162,text,text,,162.0,French,English,already,,,déjà,,,,,B2,
10,Flashcards,Learning vocabulary,,163,text,text,,163.0,French,English,Far,,,Loin,,,,,A1,
10,Flashcards,Learning vocabulary,,164,text,text,,164.0,French,English,Close,,,Près,,,,,B1,
10,Flashcards,Learning vocabulary,,165,text,text,,165.0,French,English,Less,,,Moins,,,,,A2,
10,Flashcards,Learning vocabulary,,166,text,text,,166.0,French,English,More,,,Plus,,,,,A1,
10,Flashcards,Learning vocabulary,,167,text,text,,167.0,French,English,Elsewhere,,,Ailleurs,,,,,C1,
10,Flashcards,Learning vocabulary,,168,text,text,,168.0,French,English,Almost,,,Presque,,,,,B2,
10,Flashcards,Learning vocabulary,,169,text,text,,169.0,French,English,Too,,,Trop,,,,,A1,
10,Flashcards,Learning vocabulary,,170,text,text,,170.0,French,English,Also,,,Aussi,,,,,A1,
10,Flashcards,Learning vocabulary,,171,text,text,,171.0,French,English,Together,,,Ensemble,,,,,B2,
10,Flashcards,Learning vocabulary,,172,text,text,,172.0,French,English,Behind,,,Derrière,,,,,B2,
10,Flashcards,Learning vocabulary,,173,text,text,,173.0,French,English,Over,,,Au-dessus,,,,,A1,
10,Flashcards,Learning vocabulary,,174,text,text,,174.0,French,English,Underneath,,,En-dessous,,,,,C1,
10,Flashcards,Learning vocabulary,,175,text,text,,175.0,French,English,On,,,Sur,,,,,A1,
10,Flashcards,Learning vocabulary,,176,text,text,,176.0,French,English,Between,,,Entre,,,,,B2,
10,Flashcards,Learning vocabulary,,177,text,text,,177.0,French,English,Before,,,Avant,,,,,B1,
10,Flashcards,Learning vocabulary,,178,text,text,,178.0,French,English,After,,,Après,,,,,A1,
10,Flashcards,Learning vocabulary,,179,text,text,,179.0,French,English,Next to,,,A côté de,,,,,A1,
10,Flashcards,Learning vocabulary,,180,text,text,,180.0,French,English,Only,,,Seulement,,,,,A1,
10,Flashcards,Learning vocabulary,,181,text,text,,181.0,French,English,Really,,,Vraiment,,,,,B1,
10,Flashcards,Learning vocabulary,,182,text,text,,182.0,French,English,Then,,,Puis,,,,,A1,
10,Flashcards,Learning vocabulary,,183,text,text,,183.0,French,English,Under,,,Sous,,,,,A2,
10,Flashcards,Learning vocabulary,,184,text,text,,184.0,French,English,About,,,A propos de,,,,,A1,
10,Flashcards,Learning vocabulary,,185,text,text,,185.0,French,English,Even,,,Même,,,,,A1,
10,Flashcards,Learning vocabulary,,186,text,text,,186.0,French,English,Out of,,,Hors de,,,,,A1,
10,Flashcards,Learning vocabulary,,187,text,text,,187.0,French,English,Inside,,,A l'intérieur de,,,,,B2,
10,Flashcards,Learning vocabulary,,188,text,text,,188.0,French,English,Out,,,Dehors,,,,,A1,
10,Flashcards,Learning vocabulary,,189,text,text,,189.0,French,English,Inside,,,Dedans,,,,,B2,
10,Flashcards,Learning vocabulary,,190,text,text,,190.0,French,English,In,,,Dans,,,,,A1,
10,Flashcards,Learning vocabulary,,191,text,text,,191.0,French,English,Regularly,,,Régulièrement,,,,,C1,
10,Flashcards,Learning vocabulary,,192,text,text,,192.0,French,English,Easily,,,Facilement,,,,,B2,
10,Flashcards,Learning vocabulary,,193,text,text,,193.0,French,English,Recently,,,Récemment,,,,,C1,
10,Flashcards,Learning vocabulary,,194,text,text,,194.0,French,English,Wisely,,,Intelligement,,,,,C1,
10,Flashcards,Learning vocabulary,,195,text,text,,195.0,French,English,Possibly,,,Eventuellement,,,,,C1,
10,Flashcards,Learning vocabulary,,196,text,text,,196.0,French,English,Merrily,,,Joyeusement,,,,,C1,
10,Flashcards,Learning vocabulary,,197,text,text,,197.0,French,English,Immediately,,,Immédiatement,,,,,C1,
10,Flashcards,Learning vocabulary,,198,text,text,,198.0,French,English,Completely,,,Complètement,,,,,C1,
10,Flashcards,Learning vocabulary,,199,text,text,,199.0,French,English,Violently,,,Violemment,,,,,C1,
10,Flashcards,Learning vocabulary,,200,text,text,,200.0,French,English,Firmly,,,Solidement,,,,,C1,
10,Flashcards,Learning vocabulary,,201,text,text,,201.0,French,English,Politely,,,Poliment,,,,,C1,
10,Flashcards,Learning vocabulary,,202,text,text,,202.0,French,English,Honestly,,,Franchement,,,,,C1,
10,Flashcards,Learning vocabulary,,203,text,text,,203.0,French,English,Simply,,,Simplement,,,,,B2,
10,Flashcards,Learning vocabulary,,204,text,text,,204.0,French,English,Periodically,,,Périodiquement,,,,,C1,
10,Flashcards,Learning vocabulary,,205,text,text,,205.0,French,English,Potentially,,,Probablement,,,,,C1,
10,Flashcards,Learning vocabulary,,206,text,text,,206.0,French,English,Obviously,,,évidemment,,,,,C1,
10,Flashcards,Learning vocabulary,,207,text,text,,207.0,French,English,Calmly,,,Calmement,,,,,C1,
10,Flashcards,Learning vocabulary,,208,text,text,,208.0,French,English,Long,,,Longuement,,,,,A1,
10,Flashcards,Learning vocabulary,,209,text,text,,209.0,French,English,Widely,,,Largement,,,,,B2,
10,Flashcards,Learning vocabulary,,210,text,text,,210.0,French,English,Surely,,,Surement,,,,,B2,
10,Flashcards,Learning vocabulary,,211,text,text,,211.0,French,English,Naturally,,,Naturellement,,,,,C1,
10,Flashcards,Learning vocabulary,,212,text,text,,212.0,French,English,Precisely,,,Précisément,,,,,C1,
10,Flashcards,Learning vocabulary,,213,text,text,,213.0,French,English,Mechanically,,,Mécaniquement,,,,,C1,
10,Flashcards,Learning vocabulary,,214,text,text,,214.0,French,English,Efficiently,,,Efficacement,,,,,C1,
10,Flashcards,Learning vocabulary,,215,text,text,,215.0,French,English,Seriously,,,Sérieusement,,,,,C1,
10,Flashcards,Learning vocabulary,,216,text,text,,216.0,French,English,Horribly,,,Horriblement,,,,,C1,
10,Flashcards,Learning vocabulary,,217,text,text,,217.0,French,English,Generously,,,Généreusement,,,,,C1,
10,Flashcards,Learning vocabulary,,218,text,text,,218.0,French,English,Instinctively,,,Instinctivement,,,,,C1,
10,Flashcards,Learning vocabulary,,219,text,text,,219.0,French,English,Panther,,,Panthère,,,,,C1,
10,Flashcards,Learning vocabulary,,220,text,text,,220.0,French,English,Antelope,,,Antilope,,,,,C1,
10,Flashcards,Learning vocabulary,,221,text,text,,221.0,French,English,Guinea pig,,,Cochon d'Inde,,,,,B2,
10,Flashcards,Learning vocabulary,,222,text,text,,222.0,French,English,Hamster,,,Hamster,,,,,C1,
10,Flashcards,Learning vocabulary,,223,text,text,,223.0,French,English,Flamingo,,,Flamant rose,,,,,C1,
10,Flashcards,Learning vocabulary,,224,text,text,,224.0,French,English,Rabbit,,,Lapin,,,,,C1,
10,Flashcards,Learning vocabulary,,225,text,text,,225.0,French,English,Hare,,,Lièvre,,,,,B2,
10,Flashcards,Learning vocabulary,,226,text,text,,226.0,French,English,Squirrel,,,Ecureuil,,,,,C1,
10,Flashcards,Learning vocabulary,,227,text,text,,227.0,French,English,Goose,,,Oie,,,,,B2,
10,Flashcards,Learning vocabulary,,228,text,text,,228.0,French,English,Turkey,,,Dinde,,,,,B2,
10,Flashcards,Learning vocabulary,,229,text,text,,229.0,French,English,Turkey,,,Dindon,,,,,B2,
10,Flashcards,Learning vocabulary,,230,text,text,,230.0,French,English,Doe,,,Biche,,,,,B1,
10,Flashcards,Learning vocabulary,,231,text,text,,231.0,French,English,Deer,,,Cerf,,,,,B2,
10,Flashcards,Learning vocabulary,,232,text,text,,232.0,French,English,Fawn,,,Faon,,,,,B2,
10,Flashcards,Learning vocabulary,,233,text,text,,233.0,French,English,Hyena,,,Hyène,,,,,C1,
10,Flashcards,Learning vocabulary,,234,text,text,,234.0,French,English,Dromedary,,,Dromadaire,,,,,C1,
10,Flashcards,Learning vocabulary,,235,text,text,,235.0,French,English,Scorpio,,,Scorpion,,,,,C1,
10,Flashcards,Learning vocabulary,,236,text,text,,236.0,French,English,Hedgehog,,,Hérisson,,,,,C1,
10,Flashcards,Learning vocabulary,,237,text,text,,237.0,French,English,Turtle,,,Tortue,,,,,C1,
10,Flashcards,Learning vocabulary,,238,text,text,,238.0,French,English,Kangaroo,,,Kangourou,,,,,C1,
10,Flashcards,Learning vocabulary,,239,text,text,,239.0,French,English,Koala,,,Koala,,,,,C1,
10,Flashcards,Learning vocabulary,,240,text,text,,240.0,French,English,Perch,,,Perche,,,,,C1,
10,Flashcards,Learning vocabulary,,241,text,text,,241.0,French,English,Carp,,,Carpe,,,,,B2,
10,Flashcards,Learning vocabulary,,242,text,text,,242.0,French,English,Trout,,,Truite,,,,,B2,
10,Flashcards,Learning vocabulary,,243,text,text,,243.0,French,English,Goldfish,,,Poisson rouge,,,,,C1,
10,Flashcards,Learning vocabulary,,244,text,text,,244.0,French,English,Mite,,,Acarien,,,,,B2,
10,Flashcards,Learning vocabulary,,245,text,text,,245.0,French,English,Triton,,,Triton,,,,,C1,
10,Flashcards,Learning vocabulary,,246,text,text,,246.0,French,English,Leech,,,Sangsue,,,,,C1,
10,Flashcards,Learning vocabulary,,247,text,text,,247.0,French,English,Vulture,,,Vautour,,,,,C1,
10,Flashcards,Learning vocabulary,,248,text,text,,248.0,French,English,Tuna,,,Thon,,,,,B2,
10,Flashcards,Learning vocabulary,,249,text,text,,249.0,French,English,Salmon,,,Saumon,,,,,C1,
10,Flashcards,Learning vocabulary,,250,text,text,,250.0,French,English,Crab,,,Crabe,,,,,B2,
10,Flashcards,Learning vocabulary,,251,text,text,,251.0,French,English,Shrimp,,,Crevette,,,,,C1,
10,Flashcards,Learning vocabulary,,252,text,text,,252.0,French,English,Shell,,,Coquillage,,,,,B2,
10,Flashcards,Learning vocabulary,,253,text,text,,253.0,French,English,Snail,,,Escargot,,,,,B2,
10,Flashcards,Learning vocabulary,,254,text,text,,254.0,French,English,Starfish,,,Etoile de mer,,,,,C1,
10,Flashcards,Learning vocabulary,,255,text,text,,255.0,French,English,Mold,,,Moule,,,,,B2,
10,Flashcards,Learning vocabulary,,256,text,text,,256.0,French,English,Oyster,,,Huître,,,,,C1,
10,Flashcards,Learning vocabulary,,257,text,text,,257.0,French,English,Octopus,,,Poulpe,,,,,C1,
10,Flashcards,Learning vocabulary,,258,text,text,,258.0,French,English,Bug,,,Punaise,,,,,A2,
10,Flashcards,Learning vocabulary,,259,text,text,,259.0,French,English,Chameleon,,,Caméléon,,,,,C1,
10,Flashcards,Learning vocabulary,,260,text,text,,260.0,French,English,Eel,,,Anguille,,,,,B1,
10,Flashcards,Learning vocabulary,,261,text,text,,261.0,French,English,Horsefly,,,Taon,,,,,C1,
