Exo_type_id,Exo_type,Exo_objective,Exo_focus,Exo_id,Source_format,Target_format,Source_sentence_id,Source_word_id,Source_lang,Target_lang,Full_sentence,Instruction,Sentence_w_blank,Right_answer,Dist_1,Dist_2,Dist_3,Explanation,Difficulty,Remediation,Length_sentence,Length_traget_word,Length_longest_word,Frequency_rarest_word,Score_sentence
14,MCQ,Learning vocabulary,Spellings,25,text,text,,209.0,French,English,Widely,Select the correct spelling (for Largement): ,,Widely,Wideely,Widly,Widly,,A2,,,,,,
14,MCQ,Learning vocabulary,Spellings,26,text,text,,210.0,French,English,Surely,Select the correct spelling (for Surement): ,,Surely,Sureely,Surly,Surly,,A2,,,,,,
14,MCQ,Learning vocabulary,Spellings,27,text,text,,211.0,French,English,Naturally,Select the correct spelling (for Naturellement): ,,Naturally,Naturaly,Naturalllly,Naturalely,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,28,text,text,,212.0,French,English,Precisely,Select the correct spelling (for Précisément): ,,Precisely,Preciseely,Precisly,Precisly,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,29,text,text,,213.0,French,English,Mechanically,Select the correct spelling (for Mécaniquement): ,,Mechanically,Mechanicaly,Mechanicalllly,Mechanicalely,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,30,text,text,,214.0,French,English,Efficiently,Select the correct spelling (for Efficacement): ,,Efficiently,Efficeintly,Eficiently,Efffficiently,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,31,text,text,,215.0,French,English,Seriously,Select the correct spelling (for Sérieusement): ,,Seriously,Sariously,Seuriously,Seriousely,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,32,text,text,,216.0,French,English,Horribly,Select the correct spelling (for Horriblement): ,,Horribly,Horibly,Horrrribly,Horribely,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,33,text,text,,217.0,French,English,Generously,Select the correct spelling (for Généreusement): ,,Generously,Genarously,Geneurously,Generousely,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,34,text,text,,218.0,French,English,Instinctively,Select the correct spelling (for Instinctivement): ,,Instinctively,Instinctiveely,Instinctivly,Instinctivly,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,35,text,text,,219.0,French,English,Panther,Select the correct spelling (for Panthère): ,,Panther,Penther,Panthar,Pantheur,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,36,text,text,,256.0,French,English,Oyster,Select the correct spelling (for Huître): ,,Oyster,Oystar,Oysteur,Oiester,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,37,text,text,,271.0,French,English,Seagull,Select the correct spelling (for Mouette): ,,Seagull,Seagul,Seagullll,Segull,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,38,text,text,,273.0,French,English,Otter,Select the correct spelling (for Loutre): ,,Otter,Oter,Otttter,Ottar,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,39,text,text,,300.0,French,English,Terrier,Select the correct spelling (for Terrier): ,,Terrier,Terreir,Terier,Terrrrierr,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,40,text,text,,305.0,French,English,Feather,Select the correct spelling (for Plume): ,,Feather,Feathar,Featheur,Fether,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,41,text,text,,329.0,French,English,Termitary,Select the correct spelling (for Termitière): ,,Termitary,Termitery,Tarmitary,Tarmitary,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,42,text,text,,343.0,French,English,Parrot,Select the correct spelling (for Perroquet): ,,Parrot,Parot,Parrrrot,Perrot,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,43,text,text,,349.0,French,English,bear,Select the correct spelling (for Ours blanc): ,,bear,beer,ber,beaar,,A1,,,,,,
14,MCQ,Learning vocabulary,Spellings,44,text,text,,356.0,French,English,Tear,Select the correct spelling (for Larme): ,,Tear,Teer,Ter,Teaar,,A1,,,,,,
14,MCQ,Learning vocabulary,Spellings,45,text,text,,367.0,French,English,Forearm,Select the correct spelling (for Avant-bras): ,,Forearm,Foreerm,Forerm,Foreaarm,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,46,text,text,,388.0,French,English,Capillary,Select the correct spelling (for Capillaire): ,,Capillary,Capilary,Capillllary,Capillery,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,47,text,text,,389.0,French,English,Annular,Select the correct spelling (for Annulaire): ,,Annular,Anular,Annnnular,Annuler,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,48,text,text,,428.0,French,English,Bladder,Select the correct spelling (for Vessie): ,,Bladder,Blader,Bladddder,Bladdar,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,49,text,text,,430.0,French,English,Belly,Select the correct spelling (for Ventre): ,,Belly,Bely,Belllly,Belely,,A2,,,,,,
14,MCQ,Learning vocabulary,Spellings,50,text,text,,439.0,French,English,Heart,Select the correct spelling (for Coeur): ,,Heart,Heert,Hert,Heaart,,A1,,,,,,
14,MCQ,Learning vocabulary,Spellings,51,text,text,,440.0,French,English,Artery,Select the correct spelling (for Artère): ,,Artery,Artary,Artary,Arteury,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,52,text,text,,442.0,French,English,Beard,Select the correct spelling (for Barbe): ,,Beard,Beerd,Berd,Beaard,,A2,,,,,,
14,MCQ,Learning vocabulary,Spellings,53,text,text,,464.0,French,English,Conference,Select the correct spelling (for Conférence): ,,Conference,Conferance,Confarence,Confeurence,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,54,text,text,,476.0,French,English,Hearing,Select the correct spelling (for Audience): ,,Hearing,Heering,Hering,Heaaring,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,55,text,text,,499.0,French,English,Grocery,Select the correct spelling (for épicerie): ,,Grocery,Grocary,Grocary,Groceury,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,56,text,text,,501.0,French,English,Supermarket,Select the correct spelling (for Supermarché): ,,Supermarket,Supermerket,Suparmarket,Suparmarket,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,57,text,text,,509.0,French,English,Barrack,Select the correct spelling (for Caserne): ,,Barrack,Barack,Barrrrack,Berrack,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,58,text,text,,522.0,French,English,Address,Select the correct spelling (for Adresse): ,,Address,Adress,Addddress,Addres,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,59,text,text,,523.0,French,English,Skyscraper,Select the correct spelling (for Gratte-ciel): ,,Skyscraper,Skyscrapar,Skyscrapeur,Skiescraper,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,60,text,text,,526.0,French,English,Cemetery,Select the correct spelling (for Cimetière): ,,Cemetery,Cemetary,Cemetary,Cemeteury,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,61,text,text,,528.0,French,English,Theater,Select the correct spelling (for Théâtre): ,,Theater,Theatar,Theateur,Theter,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,62,text,text,,531.0,French,English,Gutter,Select the correct spelling (for Caniveau): ,,Gutter,Guter,Gutttter,Guttar,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,63,text,text,,532.0,French,English,Barrier,Select the correct spelling (for Barrière): ,,Barrier,Barreir,Barier,Barrrrierr,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,64,text,text,,547.0,French,English,Hairdresser,Select the correct spelling (for Coiffeur): ,,Hairdresser,Hairdreser,Hairdresssser,Hairdressar,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,65,text,text,,552.0,French,English,Nursery,Select the correct spelling (for Crèche): ,,Nursery,Nursary,Nursary,Nurseury,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,66,text,text,,594.0,French,English,Earrings,Select the correct spelling (for Boucles d'oreille): ,,Earrings,Earings,Earrrrings,Eerrings,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,67,text,text,,603.0,French,English,Panties,Select the correct spelling (for Culotte): ,,Panties,Panteis,Penties,Pantys,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,68,text,text,,623.0,French,English,Impermeable,Select the correct spelling (for Imperméable): ,,Impermeable,Imparmeable,Impeurmeable,Impermeble,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,69,text,text,,629.0,French,English,Underpants,Select the correct spelling (for Caleçon): ,,Underpants,Underpents,Undarpants,Undeurpants,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,70,text,text,,643.0,French,English,harvester,Select the correct spelling (for Moissonneuse-batteuse): ,,harvester,hervester,harvestar,harvestar,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,71,text,text,,649.0,French,English,Farmer,Select the correct spelling (for Agriculteur): ,,Farmer,Fermer,Farmar,Farmar,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,72,text,text,,691.0,French,English,Cereal,Select the correct spelling (for Céréale): ,,Cereal,Careal,Ceureal,Cerel,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,73,text,text,,741.0,French,English,area,Select the correct spelling (for Zone protégée): ,,area,erea,are,areaa,,A1,,,,,,
14,MCQ,Learning vocabulary,Spellings,74,text,text,,745.0,French,English,Nuclear,Select the correct spelling (for Déchets nucléaires): ,,Nuclear,Nucleer,Nucler,Nucleaar,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,75,text,text,,746.0,French,English,Treatment,Select the correct spelling (for Traitement): ,,Treatment,Treatmant,Tretment,Treaatmeant,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,76,text,text,,779.0,French,English,Granddaughter,Select the correct spelling (for Petite-fille): ,,Granddaughter,Grandaughter,Granddddaughter,Granddaughtar,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,77,text,text,,782.0,French,English,Marriage,Select the correct spelling (for Mariage): ,,Marriage,Mariage,Marrrriage,Merriage,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,78,text,text,,783.0,French,English,Married,Select the correct spelling (for Marié): ,,Married,Marreid,Maried,Marrrried,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,79,text,text,,805.0,French,English,Illness,Select the correct spelling (for Maladie): ,,Illness,Ilness,Illllness,Illnes,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,80,text,text,,848.0,French,English,Pepper,Select the correct spelling (for Poivre): ,,Pepper,Peper,Pepppper,Peppar,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,81,text,text,,869.0,French,English,Carrot,Select the correct spelling (for Carotte): ,,Carrot,Carot,Carrrrot,Cerrot,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,82,text,text,,873.0,French,English,Barrel,Select the correct spelling (for Tonneau): ,,Barrel,Barel,Barrrrel,Berrel,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,83,text,text,,880.0,French,English,Dinner,Select the correct spelling (for Dîner): ,,Dinner,Diner,Dinnnner,Dinnar,,A2,,,,,,
14,MCQ,Learning vocabulary,Spellings,84,text,text,,907.0,French,English,Jelly,Select the correct spelling (for Gelée): ,,Jelly,Jely,Jelllly,Jelely,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,85,text,text,,924.0,French,English,Peppers,Select the correct spelling (for Poivrons): ,,Peppers,Pepers,Peppppers,Peppars,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,86,text,text,,933.0,French,English,Pear,Select the correct spelling (for Poire): ,,Pear,Peer,Per,Peaar,,A2,,,,,,
14,MCQ,Learning vocabulary,Spellings,87,text,text,,935.0,French,English,Cherry,Select the correct spelling (for Cerise): ,,Cherry,Chery,Cherrrry,Charry,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,88,text,text,,936.0,French,English,Strawberry,Select the correct spelling (for Fraise): ,,Strawberry,Strawbery,Strrawberrrry,Strawbarry,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,89,text,text,,937.0,French,English,Raspberry,Select the correct spelling (for Framboise): ,,Raspberry,Raspbery,Raspberrrry,Raspbarry,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,90,text,text,,938.0,French,English,Blueberry,Select the correct spelling (for Myrtille): ,,Blueberry,Bluebery,Blueberrrry,Bluebarry,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,91,text,text,,954.0,French,English,Bitter,Select the correct spelling (for Amer): ,,Bitter,Biter,Bitttter,Bittar,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,92,text,text,,956.0,French,English,Eggplant,Select the correct spelling (for Aubergine): ,,Eggplant,Egplant,Eggggplant,Eggplent,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,93,text,text,,980.0,French,English,Diarrhea,Select the correct spelling (for Diarrhée): ,,Diarrhea,Diarhea,Diarrrrhea,Dierrhea,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,94,text,text,,985.0,French,English,Cancer,Select the correct spelling (for Cancer): ,,Cancer,Cencer,Cancar,Canceur,,A2,,,,,,
14,MCQ,Learning vocabulary,Spellings,95,text,text,,999.0,French,English,Allergy,Select the correct spelling (for Allergie ): ,,Allergy,Alergy,Allllergy,Allargy,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,96,text,text,,1001.0,French,English,Painkiller,Select the correct spelling (for Antidouleur): ,,Painkiller,Painkiler,Painkillller,Painkillar,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,97,text,text,,1016.0,French,English,Gastroenterologist,Select the correct spelling (for Gastro-entérologue): ,,Gastroenterologist,Gastroanterologist,Gastroentarologist,Gastroenteurologist,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,98,text,text,,1021.0,French,English,Antidepressant,Select the correct spelling (for Antidépresseur): ,,Antidepressant,Antidepresant,Antidepressssant,Antidepressent,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,99,text,text,,1032.0,French,English,Rabbies,Select the correct spelling (for Rage): ,,Rabbies,Rabbeis,Rabies,Rabbbbies,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,100,text,text,,1079.0,French,English,Dysentery,Select the correct spelling (for Dysenterie): ,,Dysentery,Dysantery,Dysentary,Dysentary,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,101,text,text,,1091.0,French,English,Starter,Select the correct spelling (for Entrée): ,,Starter,Sterter,Startar,Startar,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,102,text,text,,1100.0,French,English,Mattress,Select the correct spelling (for Matelas): ,,Mattress,Mattres,Mattressss,Matress,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,103,text,text,,1126.0,French,English,Cutlery,Select the correct spelling (for Couverts): ,,Cutlery,Cutlary,Cutlary,Cutleury,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,104,text,text,,1136.0,French,English,Dessert,Select the correct spelling (for Dessert): ,,Dessert,Desert,Dessssert,Dessart,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,105,text,text,,1149.0,French,English,Attentive,Select the correct spelling (for Attentif): ,,Attentive,Atentive,Attttenttive,Attantive,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,106,text,text,,1152.0,French,English,Aggressive,Select the correct spelling (for Agressif): ,,Aggressive,Agressive,Aggggressive,Aggresive,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,107,text,text,,1153.0,French,English,Arrogant,Select the correct spelling (for Arrogant): ,,Arrogant,Arogant,Arrrrogant,Arrogent,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,108,text,text,,1163.0,French,English,Aggressiveness,Select the correct spelling (for Agressivité): ,,Aggressiveness,Agressiveness,Aggggressiveness,Aggresivenes,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,109,text,text,,1168.0,French,English,Weakness,Select the correct spelling (for Faiblesse): ,,Weakness,Weaknes,Weaknessss,Wekness,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,110,text,text,,1169.0,French,English,Arrogance,Select the correct spelling (for Arrogance): ,,Arrogance,Arogance,Arrrrogance,Arrogence,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,111,text,text,,1172.0,French,English,Intelligence,Select the correct spelling (for Intelligence): ,,Intelligence,Inteligence,Intelllligence,Intelligance,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,112,text,text,,1185.0,French,English,Impertinent,Select the correct spelling (for Insolent): ,,Impertinent,Impertinant,Impartinent,Impeurtinent,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,113,text,text,,1198.0,French,English,Happiness,Select the correct spelling (for Bonheur): ,,Happiness,Hapiness,Happppiness,Happines,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,114,text,text,,1233.0,French,English,Worried,Select the correct spelling (for Inquiet): ,,Worried,Worreid,Woried,Worrrried,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,115,text,text,,1241.0,French,English,Tenderness,Select the correct spelling (for Tendresse): ,,Tenderness,Tendernes,Tendernessss,Tendarness,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,116,text,text,,1244.0,French,English,Nervousness,Select the correct spelling (for Nervosité): ,,Nervousness,Nervousnes,Nervoussnessss,Narvousness,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,117,text,text,,1263.0,French,English,Fearful,Select the correct spelling (for Peureux): ,,Fearful,Feerful,Ferful,Feaarful,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,118,text,text,,1284.0,French,English,Refinery,Select the correct spelling (for Raffinerie): ,,Refinery,Refinary,Refinary,Refineury,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,119,text,text,,1289.0,French,English,Bulldozer,Select the correct spelling (for Bulldozer): ,,Bulldozer,Buldozer,Bulllldozer,Bulldozar,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,120,text,text,,1292.0,French,English,Copper,Select the correct spelling (for Cuivre): ,,Copper,Coper,Copppper,Coppar,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,121,text,text,,1317.0,French,English,Accountant,Select the correct spelling (for Comptable): ,,Accountant,Acountant,Accccountant,Accountent,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,122,text,text,,1321.0,French,English,Carpenter,Select the correct spelling (for Charpentier): ,,Carpenter,Carpanter,Cerpenter,Carpentar,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,123,text,text,,1327.0,French,English,Gardener,Select the correct spelling (for Jardinier): ,,Gardener,Gerdener,Gardenar,Gardenar,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,124,text,text,,1332.0,French,English,Masseur,Select the correct spelling (for Masseur): ,,Masseur,Maseur,Masssseur,Masser,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,125,text,text,,1341.0,French,English,Soldier,Select the correct spelling (for Soldat): ,,Soldier,Soldeir,Soldiar,Soldieur,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,126,text,text,,1355.0,French,English,Physiotherapist,Select the correct spelling (for Kinésithérapeute): ,,Physiotherapist,Physiotharapist,Physiotheurapist,Phiesiotherapist,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,127,text,text,,1364.0,French,English,Delivery,Select the correct spelling (for Livreur): ,,Delivery,Delivary,Delivary,Deliveury,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,128,text,text,,1384.0,French,English,Skier,Select the correct spelling (for Skieur): ,,Skier,Skeir,Skiar,Skieur,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,129,text,text,,1392.0,French,English,Percussion,Select the correct spelling (for Percussions): ,,Percussion,Percusion,Percussssion,Parcussion,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,130,text,text,,1398.0,French,English,Soccer,Select the correct spelling (for Football): ,,Soccer,Socer,Soccccer,Soccar,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,131,text,text,,1453.0,French,English,Archery,Select the correct spelling (for Tir à l'arc): ,,Archery,Archary,Archary,Archeury,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,132,text,text,,1461.0,French,English,Grammar,Select the correct spelling (for Grammaire): ,,Grammar,Gramar,Grammmmar,Grammer,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,133,text,text,,1493.0,French,English,Accent,Select the correct spelling (for Accent): ,,Accent,Acent,Accccent,Accant,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,134,text,text,,1494.0,French,English,accent,Select the correct spelling (for Accent aigu): ,,accent,acent,accccent,accant,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,135,text,text,,1519.0,French,English,Millennium,Select the correct spelling (for Millénaire): ,,Millennium,Milennium,Millllennium,Millenium,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,136,text,text,,1522.0,French,English,Quarter,Select the correct spelling (for Trimestre): ,,Quarter,Querter,Quartar,Quartar,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,137,text,text,,1528.0,French,English,Year,Select the correct spelling (for Année): ,,Year,Yeer,Yer,Yeaar,,A1,,,,,,
14,MCQ,Learning vocabulary,Spellings,138,text,text,,1533.0,French,English,Centimeter,Select the correct spelling (for Centimètre): ,,Centimeter,Cantimeter,Centimetar,Centimeteur,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,139,text,text,,1534.0,French,English,Millimeter,Select the correct spelling (for Millimètre): ,,Millimeter,Milimeter,Millllimeter,Millimetar,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,140,text,text,,1535.0,French,English,year,Select the correct spelling (for Année-lumière): ,,year,yeer,yer,yeaar,,A1,,,,,,
14,MCQ,Learning vocabulary,Spellings,141,text,text,,1553.0,French,English,Barometer,Select the correct spelling (for Baromètre): ,,Barometer,Berometer,Barometar,Barometar,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,142,text,text,,1569.0,French,English,Commission,Select the correct spelling (for Commission): ,,Commission,Comission,Commmmission,Commision,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,143,text,text,,1579.0,French,English,Commissioner,Select the correct spelling (for Commissaire): ,,Commissioner,Comissioner,Commmmissioner,Commisioner,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,144,text,text,,1591.0,French,English,Aggression,Select the correct spelling (for Agression): ,,Aggression,Agression,Aggggression,Aggresion,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,145,text,text,,1703.0,French,English,Zealander,Select the correct spelling (for Néo-zélandais): ,,Zealander,Zealandar,Zealandeur,Zelander,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,146,text,text,,1741.0,French,English,matter,Select the correct spelling (for Terre (matière)): ,,matter,mater,matttter,mattar,,A1,,,,,,
14,MCQ,Learning vocabulary,Spellings,147,text,text,,1747.0,French,English,Glacier,Select the correct spelling (for Glacier): ,,Glacier,Glaceir,Glaciar,Glacieur,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,148,text,text,,1749.0,French,English,Summer,Select the correct spelling (for Eté): ,,Summer,Sumer,Summmmer,Summar,,A1,,,,,,
