English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
Airport	airport	I'm at the airport.	Where's the airport?	Havaalanındayım.	Havaalanı nerede?
Airport	airport	I'm at the airport.	Where's the airport?	Havaalanındayım.	Havaalanı nerede?
Alarm	alarm	The alarm rang.	I hate alarm clocks.	Alarm çaldı.	Çalar saatlerden nefret ediyorum.
Alarm	alarm	The alarm rang.	I hate alarm clocks.	Alarm çaldı.	Çalar saatlerden nefret ediyorum.
Alarming	alarming	It's very alarming.	It's very alarming.	Bu çok endişe verici.	Bu çok endişe verici.
Albatross	albatross				
Alcohol	alcohol	I drink alcohol.	You reek of alcohol.	Alkol alıyorum.	Alkol kokuyorsun.
Alcoholism	alcoholism				
Algebra	Algebra				
Algeria	Algeria	Go to Algeria.	Don't go to Algeria.	Cezayir'e git.	Cezayir'e gitmeyin.
Alibi	Alibi	I have no alibi.	Tom had an alibi.	Mazeretim yok.	Tom'un bir mazereti vardı.
Alike	alike	We think alike.	They all look alike.	Benzer şekilde düşünüyoruz.	Onların hepsi benzer görünüyor.
Alive	alive	I'm alive.	I hope Tom is alive.	Hayattayım.	İnşallah Tom sağdır.
Allergy	allergy	I have allergies.	I have no allergies.	Alerjilerim var.	Alerjim yok.
Alley	alley				
Alliance	alliance				
Alligator	alligator				
Almond	Almond	I love almonds.	I like almond milk.	Ben bademleri severim.	Badem sütünü severim.
Almost	almost	Almost.	Are you almost done?	Neredeyse.	İşin bitiyor mu?
Almost	almost	Almost.	Are you almost done?	Neredeyse.	İşin bitiyor mu?
Along	along	Come along.	Tom helped me along.	Bizimle gel.	Tom ilerlememe yardımcı oldu.
Alps	Alps				
Also	also	I also went.	I'm also unemployed.	Ben de gittim.	Ben de işsizim.
Alternately	alternately				
Alternative	alternative				
Aluminum	aluminum	Aluminum is a metal.	Aluminum is a metal.	Alüminyum bir metaldir.	Alüminyum bir metaldir.
Always	always	Always.	Always remember God.	Daima.	Her zaman Tanrı'yı hatırla.
Amateur	amateur	I'm an amateur.	I'm just an amateur.	Ben bir amatörüm.	Ben sadece bir amatörüm.
Amazon	Amazon				
Ambassador	ambassador				
Ambidextrous	ambidextrous	I'm ambidextrous.	Tom is ambidextrous.	Ben çok yönlüyüm.	Tom çok yönlüdür.
Ambition	ambition	He had ambition.	Tom had no ambition.	Onun hırsı vardı.	Tom'un hiç hırsı yoktu.
Ambitious	ambitious	I'm ambitious.	I was too ambitious.	Hırslıyım.	Ben fazla hırslıydım.
Ambulance	ambulance	Call an ambulance.	Get me an ambulance.	Bir ambulans çağırın.	Bana bir ambulans çağır.
Ambush	ambush	It's an ambush!	We've been ambushed.	Bu bir tuzak!	Pusuya düşürüldük.
Ambush	ambush	It's an ambush!	We've been ambushed.	Bu bir tuzak!	Pusuya düşürüldük.
American	american	I am American.	Are you an American?	Ben Amerikalıyım.	Sen bir Amerikalı mısın?
Amicably	amicably				
Ammunition	ammunition				
Amnesia	amnesia	I have amnesia.	I have amnesia.	Hafıza kaybım var.	Hafıza kaybım var.
Among	among	I sat among them.	We're among friends.	Ben onların arasına oturdum.	Biz arkadaşlar arasındayız.
Amount	amount	It's a large amount.	It's a large amount.	O büyük bir miktar.	O büyük bir miktar.
Amphibian	amphibian	It's an amphibian.	It's an amphibian.	O bir amfibi.	O bir amfibi.
Amphora	Amphora				
Amputation	amputation				
Amusing	amusing	It's amusing.	It's rather amusing.	O eğlenceli.	Bu oldukça şaşırtıcı.
Analysis	analysis				
Analysis	analysis				
Anarchistic	anarchistic				
Anarchy	anarchy				
Anatomy	anatomy				
Anatomy	anatomy				
Anchor	Anchor	Drop the anchor!	Drop the anchor!	Çapayı indir!	Çapayı indir!
Anchovy	anchovy				
Andes	Andes				
Anesthesia	anesthesia				
Angel	angel	I'm no angel.	Tom is not an angel.	Ben melek değilim.	Tom bir melek değil.
Anger	anger	You anger us.	I like to anger Tom.	Sen bizi kızdırıyorsun.	Tom'u kızdırmayı severim.
Angle	Angle				
Angry	angry	I'm angry.	She's angry with me.	Öfkeliyim.	O; bana kızgın.
Angry	angry	I'm angry.	She's angry with me.	Öfkeliyim.	O; bana kızgın.
Angry	angry	I'm angry.	She's angry with me.	Öfkeliyim.	O; bana kızgın.
Anguish	anguish				
Animal	animal	Animals run.	What animal is this?	Hayvanlar koşar.	Bu hangi hayvan?
Animist	animist	Are you an animist?	Are you an animist?	Animist misiniz?	Animist misiniz?
Ankle	ankle	My ankle itches.	The ankle is broken.	Bileğim kaşınıyor.	Ayak bileği kırılmış.
Annoying	annoying	How annoying!	I know I'm annoying.	Ne can sıkıcı!	Can sıkıcı olduğumu biliyorum.
Annual	annual				
Annular	annular				
Anonymous	Anonymous				
Answer	answer	Answer!	My answer was wrong.	Cevapla!	Cevabım yanlıştı.
Answer	answer	Answer!	My answer was wrong.	Cevapla!	Cevabım yanlıştı.
Ant	Ant	I like ants.	We worked like ants.	Ben karıncaları severim.	Karıncalar gibi çalıştık.
Antarctica	Antarctica				
Antelope	antelope				
Antenna	antenna				
Anthem	Anthem				
Anti-Semitic	anti	I am anti-EU.	I am anti-EU.	Ben AB karşıtıyım.	Ben AB karşıtıyım.
Anti-aircraft	anti	I am anti-EU.	I am anti-EU.	Ben AB karşıtıyım.	Ben AB karşıtıyım.
Anti-inflammatory	anti	I am anti-EU.	I am anti-EU.	Ben AB karşıtıyım.	Ben AB karşıtıyım.
Antibiotic	antibiotic				
Antibody	antibody				
Antidepressant	antidepressant				
Antiseptic	antiseptic				
Antisocial	antisocial	He's antisocial.	Tom is antisocial.	O antisosyal.	Tom antisosyaldir.
Anxiety	anxiety				
Anxiety	anxiety				
Anxiety	anxiety				
Anxiolytic	anxiolytic				
Anxious	anxious	I'm anxious.	Aren't you anxious?	Ben endişeliyim.	Endişeli değil misin?
Any	any	Any time.	Are any of you hurt?	Her zaman.	Herhangi biriniz incinmiş mi?
Anyone	anyone	Ask anyone.	What's it to anyone?	Birine sor.	Kime ne?
Anyway	anyway	Anyway.	Tom did that anyway.	Her neyse.	Tom bunu yine de yaptı.
Anywhere	anywhere	Don't go anywhere.	I can hide anywhere.	Bir yere gitme.	Herhangi bir yerde saklanabilirim.
Apartment	apartment	I'm in my apartment.	Buy me an apartment.	Ben dairemdeyim.	Bana bir daire satın al.
Aperitif	aperitif				
Apologize	apologize	We apologize.	She won't apologize.	Özür dileriz.	Özür dilemeyecek.
Apostrophe	Apostrophe				
Appeal	appeal	It appeals to me.	He tried to appeal.	Bu bana çekici geliyor.	O itiraz etmeye çalıştı.
Appendicitis	appendicitis				
Appetite	Appetite	I have no appetite.	I have no appetite.	Hiç iştahım yok.	Hiç iştahım yok.
Appetite	Appetite	I have no appetite.	I have no appetite.	Hiç iştahım yok.	Hiç iştahım yok.
Applaud	applaud	I applauded.	Everybody applauded.	Ben alkışladım.	Herkes alkışladı.
Apple	apple	I ate apples.	This is apple juice.	Elmaları yedim.	Bu elma suyu.
Appliance	appliance				
Appointment	appointment	Make an appointment.	Make an appointment.	Bir randevu al.	Bir randevu al.
Apprehension	apprehension				
Approval	approval	Tom nodded approval.	Tom nodded approval.	Tom onaylamak için başını salladı.	Tom onaylamak için başını salladı.
Approval	approval	Tom nodded approval.	Tom nodded approval.	Tom onaylamak için başını salladı.	Tom onaylamak için başını salladı.
Apricot	Apricot	I like apricots.	I like apricots.	Kayısıyı severim.	Kayısıyı severim.
April	April	April fools!	It's April first.	1 Nisan!	Bugün bir Nisan.
Apron	Apron	Put on your apron.	Tom put on an apron.	Önlüğünü giy.	Tom bir önlük giydi.
Arab	arab	Fadil is Arab.	Are you an Arab?	Fadıl Araptır.	Arap mısın?
Arabic	arabic	I love Arabic.	It's an Arabic name.	Arapça'yı seviyorum.	Bu bir Arap ismi.
Archbishop	archbishop				
Archeology	archeology				
Archery	archery	I like archery.	I like archery.	Okçuluğu severim.	Okçuluğu severim.
Archipelago	Archipelago				
Are	be	I am.	Tom's French is bad.	Ben.	Tom'un Fransızcası kötü.
Area	area	Secure the area.	I live in this area.	Alanı güvenlik altına al.	Bu bölgede yaşıyorum.
Area	area	Secure the area.	I live in this area.	Alanı güvenlik altına al.	Bu bölgede yaşıyorum.
Area	area	Secure the area.	I live in this area.	Alanı güvenlik altına al.	Bu bölgede yaşıyorum.
Argentina	Argentina				
Argument	argument	I hate arguments.	I won the argument.	Tartışmalardan nefret ederim.	Tartışmayı kazandım.
Argument	argument	I hate arguments.	I won the argument.	Tartışmalardan nefret ederim.	Tartışmayı kazandım.
Argument	argument	I hate arguments.	I won the argument.	Tartışmalardan nefret ederim.	Tartışmayı kazandım.
Aristocracy	aristocracy				
Arm	arm	To arms!	He died in his arms.	Silahlara!	O, kollarında öldü.
Armchair	armchair				
Armpits	armpit				
Army	army	I miss the army.	She joined the army.	Orduyu özlüyorum.	Orduya katıldı.
Army	army	I miss the army.	She joined the army.	Orduyu özlüyorum.	Orduya katıldı.
Around	around	Ask around.	Stop fooling around.	Çevrene sor.	Etrafta oyalanmayı bırak!
Around	around	Ask around.	Stop fooling around.	Çevrene sor.	Etrafta oyalanmayı bırak!
Around	around	Ask around.	Stop fooling around.	Çevrene sor.	Etrafta oyalanmayı bırak!
Around	around	Ask around.	Stop fooling around.	Çevrene sor.	Etrafta oyalanmayı bırak!
Arrest	arrest	I got arrested.	Tom may be arrested.	Tutuklandım.	Tom tutuklanmış olabilir.
Arrested	arrest	I got arrested.	Tom may be arrested.	Tutuklandım.	Tom tutuklanmış olabilir.
Arrivals	arrival				
Arrive	arrive	I arrived.	Did you just arrive?	Vardım.	Yeni mi gelmiştin?
Arrogance	arrogance				
Arrogant	arrogant	How arrogant!	Tom seemed arrogant.	Ne kibirli!	Tom kibirli görünüyordu.
Arrow	arrow	Give me the arrow.	Where are my arrows?	Oku bana ver.	Oklarım nerede?
Artery	artery				
Arthritis	arthritis	I have arthritis.	Tom has arthritis.	Artritim var.	Tom'un artriti var.
Artichoke	artichoke				
Article	article	Read the article.	I hate that article.	Makaleyi okuyun.	O yazıdan nefret ediyorum.
Artillery	artillery				
Artist	artist	I'm an artist.	Tom is a con artist.	Ben bir sanatçıyım.	Tom bir dolandırıcı.
Ashtray	Ashtray	I need an ashtray.	I need an ashtray.	Bir kül tablasına ihtiyacım var.	Bir kül tablasına ihtiyacım var.
Asia	Asia	How is Asia?	Thailand is in Asia.	Asya nasıl?	Tayland, Asya'dadır.
Asparagus	asparagus	I hate asparagus.	I hate asparagus.	Kuşkonmazdan nefret ediyorum.	Kuşkonmazdan nefret ediyorum.
Asset	asset				
Assistant	assistant	I'm an assistant.	I need an assistant.	Ben bir asistanım.	Bir yardımcıya ihtiyacım var.
Associative	associative				
Astigmatic	astigmatic	I am astigmatic.	I am astigmatic.	Ben astigmatım.	Ben astigmatım.
Astronomy	astronomy	I love astronomy.	Astronomy is hard.	Astronomiyi severim.	Astronomi zordur.
Asylum	asylum				
Atelier	Atelier				
Atheistic	atheistic				
Athlete	athlete	I'm an athlete.	I am not an athlete.	Ben bir atletim.	Ben bir sporcu değilim.
Athletics	athletic	I'm athletic.	I'm pretty athletic.	Ben atletiğim.	Oldukça atletiğim.
Athletics	athletic	I'm athletic.	I'm pretty athletic.	Ben atletiğim.	Oldukça atletiğim.
Atlantic	Atlantic				
Atmosphere	atmosphere				
Atmosphere	atmosphere				
Atoll	atoll				
Atom	atom				
Atomic	atomic				
Atrocity	atrocity				
Attack	attack	Attack!	I didn't attack her.	Saldır!	Ona saldırmadım.
Attempt	attempt	The attempt failed.	All attempts failed.	Girişim başarısız oldu.	Tüm girişimler başarısız oldu.
Attentive	attentive	Be attentive.	Tom seems attentive.	Dikkatli olun.	Tom özenli görünüyor.
Attitude	attitude	I like his attitude.	I like her attitude.	Onun davranışını seviyorum.	Onun davranışını seviyorum.
Attractive	attractive	She is attractive.	It's not attractive.	O çekici.	Çekici değil.
Audience	audience	We have an audience.	The audience gasped.	Bizim bir kitlemiz var.	Seyirci nefes aldı.
August	August				
Aunt	aunt	I'm Tom's aunt.	Did you see my aunt?	Ben Tom'un teyzesiyim.	Teyzemi gördün mü?
Austerity	austerity				
Australia	Australia	I love Australia.	I went to Australia.	Avustralya'yı seviyorum.	Avustralya'ya gittim.
Author	author	He's an author.	Tom is an author.	O bir yazar.	Tom bir yazardır.
Authoritarian	authoritarian				
Authority	authority				
Autism	autism				
Autograph	autograph				
Autograph	autograph				
Automated	automate				
Automatically	automatically				
Autonomy	autonomy				
Autonomy	autonomy				
Autopsy	autopsy				
Available	available	I'm available.	He is available now.	Ben mevcutum.	O şimdi mevcut.
Available	available	I'm available.	He is available now.	Ben mevcutum.	O şimdi mevcut.
Avalanche	avalanche				
Avenue	avenue				
Aviation	aviation				
Aviator	aviator				
Avocado	avocado	Avocado is a fruit.	I ate five avocados.	Avokado bir meyvedir.	Beş tane avokado yedim.
Avoid	avoid	I avoid Tom.	Avoid sugary drinks.	Tom'dan sakınıyorum.	Şekerli içeceklerden kaçının.
Awake	awake	I'm awake.	I know Tom is awake.	Uyanığım.	Tom'un uyanık olduğunu biliyorum.
Awful	awful	How awful!	Tom was awful to me.	Ne kötü!	Tom bana karşı çok kötü.
Ax	ax	I got the ax.	Tom got the ax.	Baltayı aldım.	Tom işten kovuldu.
Axis	axis				
Aztec	aztec				
Baby	baby	I'm baby.	I'm feeding my baby.	Ben bebeğim.	Bebeğimi besliyorum.
Back	back	Go back.	Not in my back yard.	Geri dön.	Benim arka bahçemde değil.
Back	back	Go back.	Not in my back yard.	Geri dön.	Benim arka bahçemde değil.
Back	back	Go back.	Not in my back yard.	Geri dön.	Benim arka bahçemde değil.
Bacterium	bacterium				
Badge	Badge	I have a badge.	Where is your badge?	Bir rozetim var.	Rozetin nerede?
Badger	badger	Stop badgering me.	Stop badgering me.	Başımın etini yemeyi bırak.	Başımın etini yemeyi bırak.
Bag	bag	Hold my bag.	Mary's bag is empty.	Çantamı tut.	Mary'nin çantası boş.
Bag-to-back	Bag	Hold my bag.	Mary's bag is empty.	Çantamı tut.	Mary'nin çantası boş.
Bagpipes	bagpipe				
Baguette	Baguette				
Baker's	Baker	I'm a baker.	Are you a baker?	Ben bir fırıncıyım.	Fırıncı mısın?
Balance	balance	He kept his balance.	He lost his balance.	O, dengesini korudu.	O dengesini kaybetti.
Balanced	balanced				
Bald	bald	I'm bald.	I think Tom is bald.	Ben kelim.	Sanırım Tom kel.
Baldness	Baldness				
Ball	ball	Play ball!	Toss the ball to me.	Top oyna!	Gönder topu bana.
Ball	ball	Play ball!	Toss the ball to me.	Top oyna!	Gönder topu bana.
Ballet	ballet	How was the ballet?	How was the ballet?	Bale nasıldı?	Bale nasıldı?
Ban	Ban	They banned me.	This book is banned.	Onlar beni yasakladı.	Bu kitap yasaklandı.
Banana	Banana	I am a banana.	I'm eating a banana.	Ben bir muzum.	Muz yiyorum.
Band	Band	I'm in the band.	Tom plays in a band.	Ben gruptayım.	Tom bir grupta çalıyor.
Bandage	bandage	Apply a bandage.	Tom bandaged my leg.	Bir bandaj yapıştırın.	Tom bacağımı sardı.
Bandage	bandage	Apply a bandage.	Tom bandaged my leg.	Bir bandaj yapıştırın.	Tom bacağımı sardı.
Bangladesh	bangladesh				
Bank	bank	Is that a bank?	He works for a bank.	Bu bir banka mı?	O bir bankada çalışır.
Bank	bank	Is that a bank?	He works for a bank.	Bu bir banka mı?	O bir bankada çalışır.
Bank	bank	Is that a bank?	He works for a bank.	Bu bir banka mı?	O bir bankada çalışır.
Bank	bank	Is that a bank?	He works for a bank.	Bu bir banka mı?	O bir bankada çalışır.
Baobab	Baobab				
Baptism	baptism	His baptism's today.	His baptism's today.	Onun vaftizi bugün.	Onun vaftizi bugün.
Baptize	baptize				
Bar	bar	The bar is busy.	I seldom go to bars.	Bar meşgul.	Ben nadiren barlara giderim.
Barbecue	barbecue	I love barbecue.	I like to barbecue.	Barbeküyü severim.	Mangal yapmak hoşuma gidiyor.
Barely	barely	Tom barely ate.	She barely knew him.	Tom zar zor yedi.	O onu pek tanımıyordu.
Bark	Bark	Dogs bark.	The dog was barking.	Köpekler havlar.	Köpek havlıyordu.
Bark	Bark	Dogs bark.	The dog was barking.	Köpekler havlar.	Köpek havlıyordu.
Bark	Bark	Dogs bark.	The dog was barking.	Köpekler havlar.	Köpek havlıyordu.
Barking	bark	Dogs bark.	The dog was barking.	Köpekler havlar.	Köpek havlıyordu.
Barn	Barn	The barn is empty.	Tom hid in the barn.	Ahır boş.	Tom ahıra saklandı.
Barometer	barometer				
Baron	Baron				
Barrack	Barrack				
Barrel	barrel	He hid in a barrel.	He hid in a barrel.	Bir fıçıya saklandı.	Bir fıçının içinde gizlendi.
Barrel	barrel	He hid in a barrel.	He hid in a barrel.	Bir fıçıya saklandı.	Bir fıçının içinde gizlendi.
Barrier	barrier				
Barrier	barrier				
Basalt	basalt				
Base	base	I stole a base.	Ammonia is a base.	Bir kale kaptım.	Amonyak bir bazdır.
Baseball	baseball	I like baseball.	Baseball is my life.	Beyzbolu severim.	Beyzbol benim hayatım.
Basement	basement	I'm in the basement.	I'm in the basement.	Ben bodrumdayım.	Ben bodrumdayım.
Basement	basement	I'm in the basement.	I'm in the basement.	Ben bodrumdayım.	Ben bodrumdayım.
Bashful	bashful	Tom looks bashful.	Tom is very bashful.	Tom çekingen görünüyor.	Tom çok utangaç.
Basic	basic	This is basic.	That's basic math.	Bu temeldir.	Bu temel matematik.
Basil	Basil				
Basilica	Basilica				
Basin	Basin				
Basket	basket	She's a basket case.	She's a basket case.	O delidir.	O kaçıktır.
Basket	basket	She's a basket case.	She's a basket case.	O delidir.	O kaçıktır.
Basketball	basketball	I love basketball.	That's a basketball.	Basketbolu severim.	Bu bir basketbol topu.
Bat	Bat	Is that a bat?	It's my turn to bat.	O bir yarasa mı?	Vuruş sırası bende.
Batalion	batalion				
Bather	Bather				
Bathrobe	bathrobe				
Bathroom	bathroom	Bathroom's free.	I'm in the bathroom.	Banyo ücretsizdir.	Ben banyodayım.
Bathtub	Bathtub	I'm in the bathtub.	I'm in the bathtub.	Ben küvetteyim.	Ben küvetteyim.
Baton	Baton				
Battery	battery	My battery died.	Your battery is low.	Benim pil bitti.	Piliniz zayıflamış.
Battery	battery	My battery died.	Your battery is low.	Benim pil bitti.	Piliniz zayıflamış.
Battery	battery	My battery died.	Your battery is low.	Benim pil bitti.	Piliniz zayıflamış.
Battle	battle	We won the battle.	They died in battle.	Biz savaşı kazandık.	Çatışmada öldüler.
Bay	Bay				
Be	be	I am.	Tom's French is bad.	Ben.	Tom'un Fransızcası kötü.
Beach	beach	I'm at the beach.	Tom is at the beach.	Ben plajdayım.	Tom sahilde.
Beak	beak				
Beans	bean	I like beans.	The man eats beans.	Fasulyeyi seviyorum.	Adam fasulye yiyor.
Bear	Bear	Bear with me.	Where were you born?	Bana katlan.	Nerede dünyaya geldin?
Beard	Beard	He has a beard.	Tom now has a beard.	Onun bir sakalı var.	Tom'un şimdi sakalı var.
Beautiful	beautiful	I'm beautiful.	What beautiful legs!	Ben güzelim.	Bacaklara bak be!
Beauty	beauty	Beauty fades.	That is your beauty.	Güzellik solar.	O sizin güzelliğiniz.
Because	because	Because I hate you.	Because he is there.	Çünkü senden nefret ediyorum.	Çünkü o orada.
Bed	bed	Go to bed.	I never make my bed.	Uyu.	Asla yatağımı toplamam.
Bee	Bee	Bees sting.	Hey! A bee stung me!	Arılar sokar.	Hey! Bir arı beni soktu!
Beef	beef	I love beef.	This beef is tender.	Ben sığır etini severim.	Bu sığır eti yumuşak.
Beef	beef	I love beef.	This beef is tender.	Ben sığır etini severim.	Bu sığır eti yumuşak.
Beer	beer	Have a beer.	Which beer is Tom's?	Bir bira için.	Hangi bira Tom'un?
Beet	beet	I don't like beets.	I don't like beets.	Şeker pancarını sevmiyorum.	Şeker pancarını sevmiyorum.
Beetle	beetle	The beetle buzzes.	The beetle buzzes.	Böcek vızıldıyor.	Böcek vızıldıyor.
Before	before	We met before.	Tom did that before.	Daha önce görüştük.	Tom bunu daha önce yaptı.
Before	before	We met before.	Tom did that before.	Daha önce görüştük.	Tom bunu daha önce yaptı.
Before	before	We met before.	Tom did that before.	Daha önce görüştük.	Tom bunu daha önce yaptı.
Beggar	Beggar	I'm not a beggar.	Tom died a beggar.	Ben bir dilenci değilim.	Tom dilenci olarak öldü.
Beginner	beginner	I'm a beginner.	I'm only a beginner.	Ben bir acemiyim.	Ben sadece bir yeni başlayanım.
Beginning	begin	Begin!	Begin when you want.	Başla!	Ne zaman istersen o zamanbaşla.
Behavior	behavior	What vile behavior!	What vile behavior!	Ne iğrenç davranış!	Ne adi bir davranış!
Behind	behind	I'm behind him.	He stood behind her.	Ben onun arkasındayım.	Onun arkasında durdu.
Beige	Beige				
Believe	believe	Believe.	Nobody believes him.	İnan.	Kimse ona inanmıyor.
Believer	believer	I'm a believer.	Sami is a believer.	Ben bir müminim.	Sami mümindir.
Bell	bell	The bell rang.	Yanni rang the bell.	Zil çaldı.	Yanni zili çaldı.
Bell	bell	The bell rang.	Yanni rang the bell.	Zil çaldı.	Yanni zili çaldı.
Bells	bell	The bell rang.	Yanni rang the bell.	Zil çaldı.	Yanni zili çaldı.
Belly	belly	I have a beer belly.	Tom has a pot belly.	Bira göbeğim var.	Tom göbek yapmış.
Belt	Belt	The belt is brown.	Give me your belt.	Kemer kahverengidir.	Bana kemerini ver.
Bend	bend	Bend it.	I can't bend over.	Onu kıvır.	Eğilemiyorum.
Benefits	benefit	Who benefits?	I see no benefit.	Kim yararlanır?	Fayda görmüyorum.
Bent	bent	She bent down.	Lead is easily bent.	O öne doğru eğildi.	Kurşun kolayca eğilir.
